Pos,2019,2018,Title,Director,Year,Country,Mins,Col,Genre,Seen
130,161,185,This is Not a Film,"Panahi, Jafar & Mojtaba Mirtahmasb",2011,Iran,75,Col,Documentary,
131,146,159,Gravity,"Cuarón, Alfonso",2013,USA-UK,91,Col,Drama-Science Fiction-Thriller,X
132,---,---,Once Upon a Time... in Hollywood,"Tarantino, Quentin",2019,USA-UK-China,161,Col-BW,Comedy-Drama,X
133,135,134,Blue is the Warmest Colour,"Kechiche, Abdellatif",2013,France-Belgium-Spain,179,Col,Drama-Romance,
134,105,97,Adaptation.,"Jonze, Spike",2002,USA,114,Col,Comedy,X
135,103,107,Kill Bill Vol. 1,"Tarantino, Quentin",2003,USA,111,Col-BW,Crime-Action,X
136,145,133,My Winnipeg,"Maddin, Guy",2007,Canada-USA,80,Col-BW,Drama,
137,388,343,Horse Money,"Costa, Pedro",2014,Portugal,103,Col,Drama,
138,143,193,La La Land,"Chazelle, Damien",2016,USA,128,Col,Comedy-Drama-Musical,X
139,127,120,Moolaadé,"Sembene, Ousmane",2004,Senegal-Burkina Faso-Morocco-Tunisia-Cameroon-Switzerland-Germany,120,Col,Drama,
140,212,240,Lady Bird,"Gerwig, Greta",2017,USA,94,Col,Comedy-Drama,X
141,124,114,Memories of Murder,Bong Joon-ho,2003,South Korea,132,Col,Crime-Drama-Mystery,
142,116,103,"Enfant, L'","Dardenne, Jean-Pierre & Luc Dardenne",2005,Belgium-France,95,Col,Drama,
143,96,93,"Departed, The","Scorsese, Martin",2006,USA-Hong Kong,152,Col,Crime-Drama-Thriller,X
144,125,115,"Intruder, The","Denis, Claire",2004,France-South Korea,130,Col,Drama,
145,128,135,Ten,"Kiarostami, Abbas",2002,France-Iran,92,Col,Drama,
146,150,131,Café Lumière,Hou Hsiao-hsien,2003,Japan-Taiwan,108,Col,Drama,
147,111,104,Capturing the Friedmans,"Jarecki, Andrew",2003,USA,107,Col,Documentary-Crime,
148,109,132,"Diving Bell and the Butterfly, The","Schnabel, Julian",2007,France-USA,112,Col,Biography-Drama,
149,140,141,"Holy Girl, The","Martel, Lucrecia",2004,Argentina-Italy-Netherlands-Spain,106,Col,Drama,
150,185,182,Saraband,"Bergman, Ingmar",2003,Sweden-Denmark-Norway-Italy-Finland-Germany-Austria,120,Col,Drama,
151,178,183,Call Me by Your Name,"Guadagnino, Luca",2017,Italy-France-Brazil-USA,132,Col,Drama-Romance,X
152,130,146,Moonrise Kingdom,"Anderson, Wes",2012,USA,94,Col,Comedy-Drama-Romance,X
153,195,250,Fish Tank,"Arnold, Andrea",2009,UK,123,Col,Drama,
154,119,122,Code Unknown,"Haneke, Michael",2000,France-Germany-Romania,118,Col,Drama,
155,191,197,Inside Out,"Docter, Pete & Ronaldo Del Carmen",2015,USA,94,Col,Animated-Comedy-Adventure,X
156,118,108,"Pianist, The","Polanski, Roman",2002,France-Poland-Germany-UK-Netherlands,148,Col,War-Drama,
157,163,174,Manchester by the Sea,"Lonergan, Kenneth",2016,USA,137,Col,Drama,X
158,176,180,Wendy and Lucy,"Reichardt, Kelly",2008,USA,80,Col,Drama,
159,153,137,White Material,"Denis, Claire",2009,France-Cameroon,100,Col,Drama,
160,138,125,"Commune (Paris, 1871), La","Watkins, Peter",2000,France,345,BW,Drama-History,
161,117,111,Man on Wire,"Marsh, James",2008,UK-USA,94,Col,Documentary-Biography,X
162,134,116,Volver,"Almodóvar, Pedro",2006,Spain,121,Col,Comedy-Drama,
163,238,241,Poetry,Lee Chang-dong,2010,South Korea,139,Col,Drama,
164,115,109,Ghost World,"Zwigoff, Terry",2001,USA-UK-Germany,111,Col,Drama-Comedy,X
165,141,161,Waking Life,"Linklater, Richard",2001,USA,100,Col,Fantasy-Animated,
166,159,156,In Praise of Love,"Godard, Jean-Luc",2001,France,97,Col-BW,Drama,
167,136,138,In the City of Sylvia,"Guerín, José Luis",2007,Spain-France,84,Col,Drama,
168,179,189,Fat Girl,"Breillat, Catherine",2001,France-Italy,86,Col,Drama,
169,121,124,"Assassination of Jesse James by the Coward Robert Ford, The","Dominik, Andrew",2007,USA-Canada-UK,160,Col,Western-Biography-Drama,
170,132,155,Hero [2002],Zhang Yimou,2002,China-Hong Kong,99,Col,Drama-Action,
171,131,129,"Lord of the Rings: The Two Towers, The","Jackson, Peter",2002,New Zealand-USA,179,Col,Fantasy-Adventure,X
172,177,178,Kung Fu Hustle,"Chow, Stephen",2004,Hong Kong-China,98,Col,Action-Comedy-Crime,X
173,152,147,Letters from Iwo Jima,"Eastwood, Clint",2006,USA,140,Col,Drama-History-War,
174,139,145,Fantastic Mr. Fox,"Anderson, Wes",2009,USA,87,Col,Animated-Adventure-Comedy,X
175,247,247,Son of Saul,"Nemes, László",2015,Hungary,107,Col,Drama-War-Thriller,
176,187,181,"Great Beauty, The","Sorrentino, Paolo",2013,Italy-France,141,Col,Drama-Comedy,
177,154,150,Black Swan,"Aronofsky, Darren",2010,USA,108,Col,Drama-Thriller,X
178,203,216,Weekend [2011],"Haigh, Andrew",2011,UK,97,Col,Drama-Romance,
179,142,160,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,"Mekas, Jonas",2000,USA,288,Col,Documentary-Biography,
180,144,139,"Serious Man, A","Coen, Joel & Ethan Coen",2009,USA-UK-France,105,Col,Comedy-Drama,X
181,156,152,I'm Not There,"Haynes, Todd",2007,USA-Germany-Canada,135,Col-BW,Biography-Drama-Musical,
182,137,128,Head-On,"Akin, Fatih",2004,Germany-Turkey,121,Col,Romance-Drama,
183,160,148,"Man Without a Past, The","Kaurismäki, Aki",2002,Finland-Germany-France,97,Col,Romance-Drama-Comedy,
184,168,176,Persepolis,"Paronnaud, Vincent & Marjane Satrapi",2007,France-USA,96,Col-BW,Animated-Biography-Drama,
185,165,153,"Fog of War, The","Morris, Errol",2003,USA,107,Col,Documentary,
186,289,455,"Babadook, The","Kent, Jennifer",2014,Australia,93,Col,Drama-Horror-Thriller,X
187,231,243,Morvern Callar,"Ramsay, Lynne",2002,UK-Canada,97,Col,Drama,
188,164,169,Gladiator [2000],"Scott, Ridley",2000,USA-UK,154,Col,Drama-Action,X
189,207,227,Before Midnight,"Linklater, Richard",2013,USA,109,Col,Drama-Romance,
190,258,270,We Need to Talk About Kevin,"Ramsay, Lynne",2011,UK-USA,112,Col,Drama-Thriller,X
191,232,268,Meek's Cutoff,"Reichardt, Kelly",2010,USA,104,Col,Western,
192,151,142,"Return, The","Zvyagintsev, Andrey",2003,Russia,110,Col,Drama,
193,---,---,Portrait of a Lady on Fire,"Sciamma, Céline",2019,France,121,Col,Drama-Romance,
194,157,163,Kill Bill Vol. 2,"Tarantino, Quentin",2004,USA-China,136,Col-BW,Thriller-Drama-Action,X
195,507,466,No Home Movie,"Akerman, Chantal",2015,Belgium-France,115,Col,Documentary,
196,181,168,"Havre, Le","Kaurismäki, Aki",2011,Finland-France-Germany,93,Col,Comedy-Drama,
197,148,140,American Splendor,"Pulcini, Robert & Shari Springer Berman",2003,USA,101,Col,Drama,
198,172,157,"Christmas Tale, A","Desplechin, Arnaud",2008,France,153,Col,Comedy-Drama,
199,233,245,"Arbor, The","Barnard, Clio",2010,UK,94,Col,Documentary-Biography,
200,175,171,"Kids Are All Right, The","Cholodenko, Lisa",2010,USA,106,Col,Comedy-Drama,
201,282,265,Film socialisme,"Godard, Jean-Luc",2010,Switzerland-France,102,Col,Drama,
202,173,164,"Spring, Summer, Autumn, Winter… and Spring",Kim Ki-duk,2003,South Korea-Germany,103,Col,Drama,
203,255,---,First Reformed,"Schrader, Paul",2017,USA,113,Col,Drama-Thriller,X
204,236,242,Frances Ha,"Baumbach, Noah",2012,USA,86,BW,Comedy-Drama,X
205,223,201,Elle [2016],"Verhoeven, Paul",2016,France-Germany-Belgium,130,Col,Drama-Thriller,
206,201,229,Los Angeles Plays Itself,"Andersen, Thom",2003,USA,169,Col-BW,Documentary-History,
207,208,239,Inherent Vice,"Anderson, Paul Thomas",2014,USA,148,Col,Comedy-Crime-Drama,X
208,170,165,United 93,"Greengrass, Paul",2006,USA-UK-France,110,Col,Drama-History-Thriller,
209,219,222,25th Hour,"Lee, Spike",2002,USA,134,Col,Drama-Crime,
210,214,231,Dogtooth,"Lanthimos, Yorgos",2009,Greece,97,Col,Drama,
211,167,154,Two Lovers,"Gray, James",2008,USA-France,110,Col,Drama-Romance,
212,366,318,Certain Women,"Reichardt, Kelly",2016,USA,107,Col,Drama,
213,284,339,Faces Places,"Varda, Agnès & JR",2017,France,89,Col,Documentary,
214,259,262,Leviathan [2014],"Zvyagintsev, Andrey",2014,Russia,140,Col,Drama,
215,---,---,"Souvenir, The","Hogg, Joanna",2019,UK-USA,120,Col,Drama-Mystery-Romance,
216,183,179,"Circle, The [2000]","Panahi, Jafar",2000,Iran-Italy-Switzerland,90,Col,Drama,
217,155,143,"Squid and the Whale, The","Baumbach, Noah",2005,USA,80,Col,Drama-Comedy,X
218,228,238,Exit Through the Gift Shop,Banksy,2010,UK,87,Col,Documentary-Comedy,X
219,353,328,Timbuktu,"Sissako, Abderrahmane",2014,Mauritania-France,97,Col,Drama,
220,186,177,What Time is it There?,Tsai Ming-liang,2001,Taiwan-France,116,Col,Drama,
221,174,158,"Queen, The","Frears, Stephen",2006,UK-France-Italy-USA,103,Col,Biography-Drama,
222,216,225,Regular Lovers,"Garrel, Philippe",2005,France,183,BW,Drama,
223,169,166,Hugo,"Scorsese, Martin",2011,USA,126,Col,Adventure-Drama-Family,X
224,227,212,Carlos,"Assayas, Olivier",2010,France-Germany,334,Col,Biography-Crime-Drama,
225,184,170,To Be and to Have,"Philibert, Nicolas",2002,France,104,Col,Documentary,
226,230,204,Three Times,Hou Hsiao-hsien,2005,France-Taiwan,135,Col,Romance-Drama,
227,293,331,"Handmaiden, The",Park Chan-wook,2016,South Korea,144,Col,Drama-Romance-Thriller,
228,194,195,"House of Mirth, The","Davies, Terence",2000,UK-USA,140,Col,Romance-Drama,
229,265,258,Secret Sunshine,Lee Chang-dong,2007,South Korea,142,Col,Comedy-Drama-Romance,
230,551,493,Cameraperson,"Johnson, Kirsten",2016,USA,102,Col,Documentary,
231,279,302,Paterson,"Jarmusch, Jim",2016,USA-France-Germany,118,Col,Comedy-Drama-Romance,X
232,166,149,You Can Count on Me,"Lonergan, Kenneth",2000,USA,110,Col,Drama-Comedy,
233,218,260,Upstream Color,"Carruth, Shane",2013,USA,96,Col,Drama-Mystery-Science Fiction,
234,198,191,Bowling for Columbine,"Moore, Michael",2002,USA,120,Col,Documentary-Comedy,
235,180,219,Together [2000],"Moodysson, Lukas",2000,Sweden-Denmark-Italy,106,Col,Drama-Comedy,
236,367,---,You Were Never Really Here,"Ramsay, Lynne",2017,UK-France-USA,89,Col-BW,Drama-Mystery-Thriller,X
237,584,533,Cemetery of Splendour,"Weerasethakul, Apichatpong",2015,Thailand-UK-Germany-France-Malaysia-South Korea-Mexico-USA-Norway,122,Col,Drama-Fantasy,
238,281,269,Dunkirk,"Nolan, Christopher",2017,UK-Netherlands-France-USA,106,Col,Action-Drama-History,X
239,240,205,Beasts of the Southern Wild,"Zeitlin, Benh",2012,USA,93,Col,Drama-Fantasy,
240,316,367,It Follows,"Mitchell, David Robert",2014,USA,100,Col,Horror-Mystery-Thriller,
241,209,209,Birdman,"González Iñárritu, Alejandro",2014,USA,119,Col,Comedy-Drama,X
242,190,172,Slumdog Millionaire,"Boyle, Danny",2008,UK,120,Col,Crime-Drama-Romance,
243,250,252,Only Lovers Left Alive,"Jarmusch, Jim",2013,UK-Germany-France-Greece-Cyprus,123,Col,Drama-Horror-Romance,
244,188,187,Almost Famous,"Crowe, Cameron",2000,USA,122,Col,Romance-Drama-Comedy,X
245,204,211,Drive,"Refn, Nicolas Winding",2011,USA,100,Col,Crime-Drama-Thriller,X
246,352,346,Tangerine,"Baker, Sean",2015,USA,88,Col,Comedy-Drama,X
247,277,386,Pulse,"Kurosawa, Kiyoshi",2001,Japan,119,Col,Horror,
248,189,175,Summer Hours,"Assayas, Olivier",2008,France,103,Col,Drama-Family,
249,211,228,George Washington,"Green, David Gordon",2000,USA,89,Col,Drama,
250,182,167,"Artist, The","Hazanavicius, Michel",2011,France-Belgium,100,BW,Romance-Comedy-Drama,X
251,220,208,Flight of the Red Balloon,Hou Hsiao-hsien,2007,France-Taiwan,115,Col,Drama,X
252,244,217,"Florida Project, The","Baker, Sean",2017,USA,111,Col,Drama,X
253,196,198,Sexy Beast,"Glazer, Jonathan",2000,UK-Spain-USA,88,Col,Drama-Crime-Comedy,
254,---,---,Marriage Story [2019],"Baumbach, Noah",2019,USA-UK,136,Col,Comedy-Drama-Romance,X
255,192,203,"Triplets of Belleville, The","Chomet, Sylvain",2003,France-Canada-Belgium-UK,80,Col,Comedy-Animated-Adventure,
256,197,190,Kings & Queen,"Desplechin, Arnaud",2004,France,152,Col,Drama-Comedy,
257,221,199,"Five Obstructions, The","Leth, Jørgen & Lars von Trier",2003,Denmark-Belgium-Switzerland-France-Sweden-Finland-UK-Norway,90,Col-BW,Documentary,
258,399,---,"Rider, The","Zhao, Chloé",2017,USA,104,Col,Drama-Western,
259,301,313,"Quattro volte, Le","Frammartino, Michelangelo",2010,Italy-Germany-Switzerland,88,Col,Drama,
260,213,192,House of Flying Daggers,Zhang Yimou,2004,China-Hong Kong,111,Col,Action-Drama-Romance,
261,269,249,Another Year [2010],"Leigh, Mike",2010,UK,130,Col,Comedy-Drama,
262,408,464,American Psycho,"Harron, Mary",2000,USA-Canada,101,Col,Horror-Drama-Comedy,X
263,482,546,Hard to Be a God,"German, Aleksey",2013,Russia,177,BW,Drama-Science Fiction,
264,249,224,"Hours, The","Daldry, Stephen",2002,USA,114,Col,Drama,
265,226,206,Oasis,Lee Chang-dong,2002,South Korea,133,Col,Romance-Drama,
