Pos,2024,Title,Director,Year,Country,Mins,Seen
877,875,Monty Python and the Holy Grail,"Gilliam, Terry & Terry Jones",1975,UK,90,X
879,905,"Red and the White, The","Jancsó, Miklós",1967,Hungary,90,
903,895,Assault on Precinct 13,"Carpenter, John",1976,USA,90,X
959,961,Othello,"Welles, Orson",1951,Italy,90,X
964,974,Duel,"Spielberg, Steven",1971,USA,90,X
14,15,Bicycle Thieves,"De Sica, Vittorio",1948,Italy,89,X
18,19,Breathless,"Godard, Jean-Luc",1960,France,89,X
20,20,"Atalante, L'","Vigo, Jean",1934,France,89,X
51,52,Modern Times,"Chaplin, Charles",1936,USA,89,X
224,222,Umberto D.,"De Sica, Vittorio",1952,Italy,89,
274,274,F for Fake,"Welles, Orson",1973,France,89,X
293,287,All That Heaven Allows,"Sirk, Douglas",1955,USA,89,
377,378,Stranger Than Paradise,"Jarmusch, Jim",1984,USA,89,X
511,518,Closely Watched Trains,"Menzel, Jirí",1966,Czechoslovakia,89,
574,560,Yellow Earth,Chen Kaige,1984,China,89,
732,726,Stand by Me,"Reiner, Rob",1986,USA,89,X
735,723,Moonfleet,"Lang, Fritz",1955,USA,89,
993,,Saturday Night and Sunday Morning,"Reisz, Karel",1960,UK,89,X
24,24,Rashomon,"Kurosawa, Akira",1950,Japan,88,X
89,85,"Magnificent Ambersons, The","Welles, Orson",1942,USA,88,X
135,139,"Olvidados, Los","Buñuel, Luis",1950,Mexico,88,X
242,244,"Ivan the Terrible, Part II","Eisenstein, Sergei",1946,USSR,88,
411,409,Eyes Without a Face,"Franju, Georges",1960,France,88,X
448,438,"Wind, The","Sjöström, Victor",1928,USA,88,
469,457,Pinocchio,"Sharpsteen, Ben & Hamilton Luske",1940,USA,88,X
579,624,Loves of a Blonde,"Forman, Milos",1965,Czechoslovakia,88,
637,635,Hour of the Wolf,"Bergman, Ingmar",1968,Sweden,88,X
669,657,"Virgin Spring, The","Bergman, Ingmar",1960,Sweden,88,X
808,795,"Producers, The","Brooks, Mel",1968,USA,88,X
811,815,Women on the Verge of a Nervous Breakdown,"Almodóvar, Pedro",1988,Spain,88,
827,830,Deep End,"Skolimowski, Jerzy",1970,UK,88,
843,834,Gummo,"Korine, Harmony",1997,USA,88,X
1000,986,Numéro deux,"Godard, Jean-Luc",1975,France,88,
288,288,2 or 3 Things I Know About Her,"Godard, Jean-Luc",1967,France,87,
404,399,"Headless Woman, The","Martel, Lucrecia",2008,Argentina,87,X
453,448,Koyaanisqatsi,"Reggio, Godfrey",1982,USA,87,
551,542,"Lady from Shanghai, The","Welles, Orson",1948,USA,87,X
622,619,Shadows,"Cassavetes, John",1959,USA,87,
627,615,Boudu Saved from Drowning,"Renoir, Jean",1932,France,87,X
700,683,7 Women,"Ford, John",1965,USA,87,
714,699,Sauve qui peut (la vie),"Godard, Jean-Luc",1980,France,87,
720,730,"Hard Day's Night, A","Lester, Richard",1964,UK,87,X
768,803,Mädchen in Uniform,"Sagan, Leontine",1931,Germany,87,
791,773,"39 Steps, The","Hitchcock, Alfred",1935,UK,87,X
812,799,Forbidden Games,"Clément, René",1952,France,87,
821,808,Passion,"Godard, Jean-Luc",1982,France,87,
837,825,Street of Shame,"Mizoguchi, Kenji",1956,Japan,87,X
974,956,True Heart Susie,"Griffith, D.W.",1919,USA,87,
25,25,City Lights,"Chaplin, Charles",1931,USA,86,X
161,160,My Neighbour Totoro,"Miyazaki, Hayao",1988,Japan,86,X
283,291,Paths of Glory,"Kubrick, Stanley",1957,USA,86,X
306,301,Mr. Hulot's Holiday,"Tati, Jacques",1953,France,86,X
481,474,Wagon Master,"Ford, John",1950,USA,86,X
829,823,Losing Ground,"Collins, Kathleen",1982,USA,86,
895,899,Airplane!,"Abrahams, Jim/David Zucker/Jerry Zucker",1980,USA,86,X
938,935,Portrait of Jennie,"Dieterle, William",1948,USA,86,
970,964,Gun Crazy,"Lewis, Joseph H.",1950,USA,86,X
129,129,Vivre sa vie,"Godard, Jean-Luc",1962,France,85,
174,173,Touki Bouki,"Diop Mambéty, Djibril",1973,Senegal,85,
177,179,Brief Encounter,"Lean, David",1945,UK,85,X
208,205,News from Home,"Akerman, Chantal",1976,Belgium,85,
227,226,Where is the Friend's House?,"Kiarostami, Abbas",1987,Iran,85,
246,243,Eraserhead,"Lynch, David",1977,USA,85,X
302,297,"Distant Voices, Still Lives","Davies, Terence",1988,UK,85,
553,540,"Je, tu, il, elle","Akerman, Chantal",1974,Belgium,85,
581,577,Laura,"Preminger, Otto",1944,USA,85,X
589,669,Plácido,"García Berlanga, Luis",1961,Spain,85,
684,682,Chronicle of a Summer,"Rouch, Jean & Edgar Morin",1961,France,85,
689,720,"Killing, The","Kubrick, Stanley",1956,USA,85,X
709,701,Lancelot du Lac,"Bresson, Robert",1974,France,85,
713,697,Salesman,"Maysles, Albert/David Maysles/Charlotte Zwerin",1969,USA,85,X
727,729,"Short Film About Killing, A","Kieslowski, Krzysztof",1987,Poland,85,X
733,751,"Dames du Bois de Boulogne, Les","Bresson, Robert",1945,France,85,
749,756,"Wild Child, The","Truffaut, François",1970,France,85,
787,767,Wings,"Shepitko, Larisa",1966,USSR,85,
146,147,Nosferatu,"Murnau, F.W.",1922,Germany,84,X
478,478,High Noon,"Zinnemann, Fred",1952,USA,84,X
698,680,WR: Mysteries of the Organism,"Makavejev, Dusan",1971,Yugoslavia,84,
736,742,Titicut Follies,"Wiseman, Frederick",1967,USA,84,
775,764,Hellzapoppin',"Potter, H.C.",1941,USA,84,
796,810,Evil Dead II,"Raimi, Sam",1987,USA,84,X
16,16,Persona,"Bergman, Ingmar",1966,Sweden,83,X
149,144,Killer of Sheep,"Burnett, Charles",1977,USA,83,
158,155,Trouble in Paradise,"Lubitsch, Ernst",1932,USA,83,X
170,169,"Texas Chain Saw Massacre, The","Hooper, Tobe",1974,USA,83,X
400,404,"Flowers of St. Francis, The","Rossellini, Roberto",1950,Italy,83,X
416,410,Snow White and the Seven Dwarfs,"Hand, David",1937,USA,83,X
479,480,"Dead, The","Huston, John",1987,USA,83,
608,603,"Long Day Closes, The","Davies, Terence",1992,UK,83,
801,779,"Faster, Pussycat! Kill! Kill!","Meyer, Russ",1965,USA,83,
93,93,"Gold Rush, The","Chaplin, Charles",1925,USA,82,X
199,208,"Gleaners & I, The","Varda, Agnès",2000,France,82,X
261,259,Tabu,"Murnau, F.W.",1931,USA,82,
284,284,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Taiwan,82,
388,390,This is Spinal Tap,"Reiner, Rob",1984,USA,82,X
653,654,Strike,"Eisenstein, Sergei",1925,USSR,82,X
672,696,"Purple Rose of Cairo, The","Allen, Woody",1985,USA,82,X
870,859,Shanghai Express,"von Sternberg, Josef",1932,USA,82,
985,979,"Reckless Moment, The","Ophüls, Max",1949,USA,82,
460,450,Shoot the Piano Player,"Truffaut, François",1960,France,81,X
477,483,Elephant,"Van Sant, Gus",2003,USA,81,
679,694,Toy Story,"Lasseter, John",1995,USA,81,X
22,22,Man with a Movie Camera,"Vertov, Dziga",1929,USSR,80,X
180,178,"Colour of Pomegranates, The","Parajanov, Sergei",1969,USSR,80,X
185,183,Mouchette,"Bresson, Robert",1967,France,80,
433,435,Winter Light,"Bergman, Ingmar",1963,Sweden,80,X
711,702,Before Sunset,"Linklater, Richard",2004,USA,80,X
842,854,Invasion of the Body Snatchers,"Siegel, Don",1956,USA,80,X
909,907,Wendy and Lucy,"Reichardt, Kelly",2008,USA,80,
946,936,"Enfance nue, L'","Pialat, Maurice",1968,France,80,X
976,967,Rope,"Hitchcock, Alfred",1948,USA,80,X
316,305,Nanook of the North,"Flaherty, Robert J.",1922,USA,79,X
427,425,"Bonheur, Le","Varda, Agnès",1965,France,79,
539,527,Blue,"Jarman, Derek",1993,UK,79,
758,761,Born in Flames,"Borden, Lizzie",1983,USA,79,
795,774,Zelig,"Allen, Woody",1983,USA,79,
464,459,Paris is Burning,"Livingston, Jennie",1990,USA,78,
512,500,"Moment of Innocence, A","Makhmalbaf, Mohsen",1996,Iran,78,
731,722,One Way or Another,"Gómez, Sara",1977,Cuba,78,
818,820,"Woman of Paris, A","Chaplin, Charles",1923,USA,78,X
206,204,"Last Laugh, The","Murnau, F.W.",1924,Germany,77,X
548,538,Man of Aran,"Flaherty, Robert J.",1934,UK,77,
788,775,Cairo Station,"Chahine, Youssef",1958,Egypt,77,
145,146,Daisies,"Chytilová, Věra",1966,Czechoslovakia,76,
88,89,Pickpocket,"Bresson, Robert",1959,France,75,X
181,177,Earth,"Dovzhenko, Alexander",1930,USSR,75,
263,265,"Cabinet of Dr. Caligari, The","Wiene, Robert",1920,Germany,75,X
425,422,Bride of Frankenstein,"Whale, James",1935,USA,75,X
602,627,Symbiopsychotaxiplasm: Take One,"Greaves, William",1968,USA,75,
814,800,Dog Star Man,"Brakhage, Stan",1964,USA,75,
50,50,"General, The","Keaton, Buster & Clyde Bruckman",1926,USA,74,X
232,233,"Germany, Year Zero","Rossellini, Roberto",1948,Italy,74,X
509,497,Our Hospitality,"Keaton, Buster & John G. Blystone",1923,USA,74,X
927,937,People on Sunday,"Siodmak, Robert & Edgar G. Ulmer",1930,Germany,74,
190,187,Vampyr,"Dreyer, Carl Theodor",1932,Germany,73,X
582,574,Cat People,"Tourneur, Jacques",1942,USA,73,X
756,821,"Firemen's Ball, The","Forman, Milos",1967,Czechoslovakia,73,X
783,769,Mother and Son,"Sokurov, Aleksandr",1997,Russia,73,
824,829,Petite Maman,"Sciamma, Céline",2021,France,73,
905,891,It's a Gift,"McLeod, Norman Z.",1934,USA,73,
730,721,"Circus, The","Chaplin, Charles",1928,USA,72,X
21,21,Battleship Potemkin,"Eisenstein, Sergei",1925,USSR,71,X
473,490,"Steamboat Bill, Jr.","Keaton, Buster & Charles Reisner",1928,USA,71,X
475,484,By the Bluest of Seas,"Barnet, Boris",1936,USSR,71,
175,171,Duck Soup,"McCarey, Leo",1933,USA,70,X
647,646,Frankenstein,"Whale, James",1931,USA,70,X
977,959,"Moi, un Noir","Rouch, Jean",1958,France,70,
979,973,"Page of Madness, A","Kinugasa, Teinosuke",1926,Japan,70,
441,463,"Cameraman, The","Keaton, Buster & Edward Sedgwick",1928,USA,69,X
563,555,I Walked with a Zombie,"Tourneur, Jacques",1943,USA,69,X
674,661,Bambi,"Hand, David",1942,USA,69,X
764,750,Detour,"Ulmer, Edgar G.",1945,USA,69,X
864,846,Sicilia!,"Straub, Jean-Marie & Danièle Huillet",1999,Italy,66,
272,272,Black Girl,"Sembene, Ousmane",1966,Senegal,65,X
710,719,"Adventures of Prince Achmed, The","Reiniger, Lotte",1926,Germany,65,
322,318,Freaks,"Browning, Tod",1932,USA,64,X
836,828,Dumbo,"Sharpsteen, Ben",1941,USA,64,X
167,166,"Âge d'or, L'","Buñuel, Luis",1930,France,63,X
874,871,"Unknown, The","Browning, Tod",1927,USA,63,X
995,983,Handsworth Songs,"Akomfrah, John",1986,UK,61,
334,331,"Kid, The","Chaplin, Charles",1921,USA,60,X
923,918,Zorns Lemma,"Frampton, Hollis",1970,USA,60,X
663,675,"Navigator, The","Keaton, Buster & Donald Crisp",1924,USA,59,X
611,597,Seven Chances,"Keaton, Buster",1925,USA,56,X
901,920,Tongues Untied,"Riggs, Marlon",1989,USA,55,
991,,Not Reconciled,"Straub, Jean-Marie",1965,West Germany,55,
103,101,Sherlock Jr.,"Keaton, Buster",1924,USA,45,X
215,212,Wavelength,"Snow, Michael",1967,Canada,45,X
767,753,Flaming Creatures,"Smith, Jack",1963,USA,45,
916,906,Simon of the Desert,"Buñuel, Luis",1965,Mexico,43,X
219,217,Zero for Conduct,"Vigo, Jean",1933,France,41,X
126,125,"Day in the Country, A","Renoir, Jean",1936,France,40,X
944,938,Elephant [TV],"Clarke, Alan",1989,UK,39,
269,262,Night and Fog,"Resnais, Alain",1955,France,32,X
599,585,Tale of Tales,"Norshteyn, Yuriy",1979,USSR,29,X
893,885,"Seasons, The","Peleshian, Artavazd",1975,USSR,29,X
568,584,Land Without Bread,"Buñuel, Luis",1933,Spain,28,X
628,617,Scorpio Rising,"Anger, Kenneth",1963,USA,28,X
95,95,"Jetée, La","Marker, Chris",1962,France,27,X
789,778,"Chant d'amour, Un","Genet, Jean",1950,France,26,X
233,232,"House is Black, The","Farrokhzad, Forugh",1963,Iran,20,X
465,453,Listen to Britain,"Jennings, Humphrey & Stewart McAllister",1942,UK,20,X
817,805,Rose Hobart,"Cornell, Joseph",1936,USA,20,X
155,149,"Chien andalou, Un","Buñuel, Luis",1928,France,16,X
100,99,Meshes of the Afternoon,"Deren, Maya & Alexander Hammid",1943,USA,15,X
458,449,"Trip to the Moon, A","Méliès, Georges",1902,France,14,X
940,929,Mothlight,"Brakhage, Stan",1963,USA,4,X
