Pos,2024,Title,Director,Year,Country,Mins,Seen
607,593,Colossal Youth,"Costa, Pedro",2006,France,155,X
668,692,"Prophet, A","Audiard, Jacques",2009,France,155,
680,676,"Farewell, My Concubine",Chen Kaige,1993,China,155,
745,731,"New York, New York","Scorsese, Martin",1977,USA,155,X
78,79,Pulp Fiction,"Tarantino, Quentin",1994,USA,154,X
437,426,"Star is Born, A","Cukor, George",1954,USA,154,X
485,472,Platform,Jia Zhangke,2000,China,154,
72,72,Metropolis,"Lang, Fritz",1927,Germany,153,X
483,496,"Death of Mr. Lazarescu, The","Puiu, Cristi",2005,Romania,153,
830,862,Amores perros,"González Iñárritu, Alejandro",2000,Mexico,153,
845,852,Inglourious Basterds,"Tarantino, Quentin",2009,USA,153,X
851,863,"Asthenic Syndrome, The","Muratova, Kira",1989,USSR,153,
643,652,"Dark Knight, The","Nolan, Christopher",2008,USA,152,X
765,770,Lolita,"Kubrick, Stanley",1962,UK,152,X
348,352,West Side Story,"Wise, Robert & Jerome Robbins",1961,USA,151,X
13,13,Apocalypse Now,"Coppola, Francis Ford",1979,USA,150,X
196,201,"Paris, Texas","Wenders, Wim",1984,West Germany,150,X
629,618,"Red Circle, The","Melville, Jean-Pierre",1970,France,150,X
807,837,Margaret,"Lonergan, Kenneth",2011,USA,150,
280,278,"Story of the Last Chrysanthemums, The","Mizoguchi, Kenji",1939,Japan,148,X
722,711,Kaagaz Ke Phool,"Dutt, Guru",1959,India,148,
898,888,Juliet of the Spirits,"Fellini, Federico",1965,Italy,148,
982,,"Pianist, The","Polanski, Roman",2002,France,148,
30,30,Mulholland Dr.,"Lynch, David",2001,France,147,X
401,395,Woman in the Dunes,"Teshigahara, Hiroshi",1964,Japan,147,X
950,941,"Khrustalyov, My Car!","German, Aleksei",1998,Russia,147,
60,63,GoodFellas,"Scorsese, Martin",1990,USA,146,X
226,224,"Life of Oharu, The","Mizoguchi, Kenji",1952,Japan,146,X
335,328,Pyaasa,"Dutt, Guru",1957,India,146,
37,37,"Avventura, L'","Antonioni, Michelangelo",1960,Italy,145,X
291,300,"Sacrifice, The","Tarkovsky, Andrei",1986,France,145,
314,310,Werckmeister Harmonies,"Tarr, Béla",2000,Hungary,145,
446,447,Limelight,"Chaplin, Charles",1952,USA,145,X
466,465,A.I. Artificial Intelligence,"Spielberg, Steven",2001,USA,145,X
382,382,"White Ribbon, The","Haneke, Michael",2009,Germany,144,
396,400,Opening Night,"Cassavetes, John",1977,USA,144,
461,482,Dersu Uzala,"Kurosawa, Akira",1975,USSR,144,X
578,575,"Master, The","Anderson, Paul Thomas",2012,USA,144,X
975,984,Carlito's Way,"De Palma, Brian",1993,USA,144,
106,108,Ikiru,"Kurosawa, Akira",1952,Japan,143,X
86,86,"Shining, The","Kubrick, Stanley",1980,USA,142,X
327,348,High and Low,"Kurosawa, Akira",1963,Japan,142,X
435,444,"Shawshank Redemption, The","Darabont, Frank",1994,USA,142,X
486,499,Secrets & Lies,"Leigh, Mike",1996,UK,142,X
586,613,Forrest Gump,"Zemeckis, Robert",1994,USA,142,X
853,865,Time of the Gypsies,"Kusturica, Emir",1988,Yugoslavia,142,
867,853,"Tin Drum, The","Schlöndorff, Volker",1979,West Germany,142,X
63,65,Rio Bravo,"Hawks, Howard",1959,USA,141,X
229,229,Love Streams,"Cassavetes, John",1984,USA,141,
315,323,I Am Cuba,"Kalatozov, Mikhail",1964,Cuba,141,
354,347,"Puppetmaster, The",Hou Hsiao-hsien,1993,Taiwan,141,
