Pos	2019	2018	Title	Director	Year	Country	Length	Genre	Colour	Seen
584	583	0	Silence, The	Bergman, Ingmar	1963	Sweden	96	null	null	true
634	634	0	Don't Look Back	Pennebaker, D.A.	1967	USA	96	null	null	true
640	647	0	Casque d'or	Becker, Jacques	1952	France	96	null	null	false
676	663	0	Fat City	Huston, John	1972	USA	96	null	null	true
718	709	0	Hunger	McQueen, Steve	2008	UK	96	null	null	false
741	736	0	Love Me Tonight	Mamoulian, Rouben	1932	USA	96	null	null	false
742	744	0	Fly, The	Cronenberg, David	1986	USA	96	null	null	true
828	835	0	Naked Island, The	Shindo, Kaneto	1960	Japan	96	null	null	false
844	847	0	Persepolis	Paronnaud, Vincent & Marjane Satrapi	2007	France	96	null	null	false
936	940	0	History of Violence, A	Cronenberg, David	2005	USA	96	null	null	true
984	966	0	Summer with Monika	Bergman, Ingmar	1953	Sweden	96	null	null	true
29	29	0	Au hasard Balthazar	Bresson, Robert	1966	France	95	null	null	true
112	112	0	Spirit of the Beehive, The	Erice, Victor	1973	Spain	95	null	null	false
133	138	0	Exterminating Angel, The	Buñuel, Luis	1962	Mexico	95	null	null	false
157	153	0	Days of Heaven	Malick, Terrence	1978	USA	95	null	null	true
165	165	0	Badlands	Malick, Terrence	1973	USA	95	null	null	true
307	303	0	Music Room, The	Ray, Satyajit	1958	India	95	null	null	false
324	322	0	Belle et la bête, La	Cocteau, Jean	1946	France	95	null	null	true
344	364	0	Cranes Are Flying, The	Kalatozov, Mikhail	1957	USSR	95	null	null	false
410	411	0	Orpheus	Cocteau, Jean	1950	France	95	null	null	false
412	416	0	Miracle in Milan	De Sica, Vittorio	1951	Italy	95	null	null	false
529	533	0	12 Angry Men	Lumet, Sidney	1957	USA	95	null	null	true
555	556	0	Punch-Drunk Love	Anderson, Paul Thomas	2002	USA	95	null	null	true
561	549	0	Devil, Probably, The	Bresson, Robert	1977	France	95	null	null	false
590	591	0	Bande à part	Godard, Jean-Luc	1964	France	95	null	null	false
591	588	0	Bigger Than Life	Ray, Nicholas	1956	USA	95	null	null	false
605	590	0	Grey Gardens	Maysles, David/Albert Maysles/Ellen Hovde/Muffie Meyer	1975	USA	95	null	null	true
630	616	0	Ladies Man, The	Lewis, Jerry	1961	USA	95	null	null	true
633	631	0	Alphaville	Godard, Jean-Luc	1965	France	95	null	null	false
646	642	0	They Live by Night	Ray, Nicholas	1948	USA	95	null	null	true
687	706	0	When Harry Met Sally...	Reiner, Rob	1989	USA	95	null	null	true
690	681	0	Trainspotting	Boyle, Danny	1996	UK	95	null	null	true
726	724	0	Antonio das Mortes	Rocha, Glauber	1969	Brazil	95	null	null	false
816	832	0	Sur, El	Erice, Victor	1983	Spain	95	null	null	false
921	917	0	Night of the Demon	Tourneur, Jacques	1957	UK	95	null	null	false
934	943	0	Near Dark	Bigelow, Kathryn	1987	USA	95	null	null	true
948	950	0	Chienne, La	Renoir, Jean	1931	France	95	null	null	true
107	104	0	Ali: Fear Eats the Soul	Fassbinder, Rainer Werner	1974	West Germany	94	null	null	false
108	107	0	Aguirre, the Wrath of God	Herzog, Werner	1972	West Germany	94	null	null	true
109	110	0	Annie Hall	Allen, Woody	1977	USA	94	null	null	true
111	109	0	Last Year at Marienbad	Resnais, Alain	1961	France	94	null	null	false
198	199	0	Lady Eve, The	Sturges, Preston	1941	USA	94	null	null	true
395	397	0	Orlando	Potter, Sally	1992	UK	94	null	null	false
436	428	0	Days of Being Wild	Wong Kar-wai	1990	Hong Kong	94	null	null	true
454	437	0	Ivan's Childhood	Tarkovsky, Andrei	1962	USSR	94	null	null	true
542	532	0	Rosetta	Dardenne, Jean-Pierre & Luc Dardenne	1999	Belgium	94	null	null	false
580	581	0	Easy Rider	Hopper, Dennis	1969	USA	94	null	null	true
655	671	0	Nazarín	Buñuel, Luis	1958	Mexico	94	null	null	false
656	678	0	Ratcatcher	Ramsay, Lynne	1999	UK	94	null	null	false
699	693	0	Chronicle of Anna Magdalena Bach	Straub, Jean-Marie	1968	West Germany	94	null	null	false
759	748	0	Raising Arizona	Coen, Joel & Ethan Coen	1987	USA	94	null	null	true
777	762	0	Good Morning	Ozu, Yasujiro	1959	Japan	94	null	null	true
933	914	0	Boucher, Le	Chabrol, Claude	1970	France	94	null	null	false
981	968	0	Ride the High Country	Peckinpah, Sam	1962	USA	94	null	null	false
66	66	0	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Kubrick, Stanley	1964	UK	93	null	null	true
462	467	0	Grave of the Fireflies	Takahata, Isao	1988	Japan	93	null	null	true
505	505	0	Monty Python's Life of Brian	Jones, Terry	1979	UK	93	null	null	true
593	586	0	Halloween	Carpenter, John	1978	USA	93	null	null	true
651	659	0	Scarface	Hawks, Howard	1932	USA	93	null	null	true
678	666	0	Posto, Il	Olmi, Ermanno	1961	Italy	93	null	null	false
683	687	0	Rushmore	Anderson, Wes	1998	USA	93	null	null	true
899	915	0	They Live	Carpenter, John	1988	USA	93	null	null	false
958	951	0	Perfumed Nightmare	Tahimik, Kidlat	1977	Philippines	93	null	null	false
36	36	0	Night of the Hunter, The	Laughton, Charles	1955	USA	92	null	null	true
52	51	0	Beau travail	Denis, Claire	1999	France	92	null	null	true
141	140	0	His Girl Friday	Hawks, Howard	1940	USA	92	null	null	true
362	363	0	Make Way for Tomorrow	McCarey, Leo	1937	USA	92	null	null	true
405	396	0	I Know Where I'm Going!	Powell, Michael & Emeric Pressburger	1945	UK	92	null	null	true
406	402	0	Suspiria	Argento, Dario	1977	Italy	92	null	null	false
419	412	0	Awful Truth, The	McCarey, Leo	1937	USA	92	null	null	true
540	536	0	Point Blank	Boorman, John	1967	USA	92	null	null	true
631	622	0	Pink Flamingos	Waters, John	1972	USA	92	null	null	false
784	786	0	Morocco	von Sternberg, Josef	1930	USA	92	null	null	true
969	952	0	Sawdust and Tinsel	Bergman, Ingmar	1953	Sweden	92	null	null	true
987	969	0	Anatahan	von Sternberg, Josef	1953	Japan	92	null	null	false
990	0	0	Elevator to the Gallows	Malle, Louis	1958	France	92	null	null	false
120	119	0	Hiroshima mon amour	Resnais, Alain	1959	France	91	null	null	true
148	148	0	Umbrellas of Cherbourg, The	Demy, Jacques	1964	France	91	null	null	true
228	228	0	Sullivan's Travels	Sturges, Preston	1941	USA	91	null	null	true
248	250	0	In a Lonely Place	Ray, Nicholas	1950	USA	91	null	null	true
355	346	0	El	Buñuel, Luis	1953	Mexico	91	null	null	false
372	372	0	Harold and Maude	Ashby, Hal	1971	USA	91	null	null	true
604	589	0	Gentlemen Prefer Blondes	Hawks, Howard	1953	USA	91	null	null	false
696	686	0	Gimme Shelter	Maysles, Albert/David Maysles/Charlotte Zwerin	1970	USA	91	null	null	true
723	712	0	Hawks and the Sparrows, The	Pasolini, Pier Paolo	1966	Italy	91	null	null	false
746	743	0	Phantom of the Paradise	De Palma, Brian	1974	USA	91	null	null	false
757	780	0	Big Deal on Madonna Street	Monicelli, Mario	1958	Italy	91	null	null	false
848	869	0	Angel	Lubitsch, Ernst	1937	USA	91	null	null	false
881	872	0	Red Sorghum	Zhang Yimou	1987	China	91	null	null	false
911	962	0	Port of Shadows	Carné, Marcel	1938	France	91	null	null	false
912	919	0	Criminal Life of Archibaldo de la Cruz, The	Buñuel, Luis	1955	Mexico	91	null	null	false
967	960	0	Tarnished Angels, The	Sirk, Douglas	1957	USA	91	null	null	false
62	61	0	Wild Strawberries	Bergman, Ingmar	1957	Sweden	90	null	null	true
80	88	0	Viridiana	Buñuel, Luis	1961	Spain	90	null	null	true
97	97	0	Cléo from 5 to 7	Varda, Agnès	1962	France	90	null	null	true
130	127	0	Letter from an Unknown Woman	Ophüls, Max	1948	USA	90	null	null	false
156	152	0	Argent, L'	Bresson, Robert	1983	France	90	null	null	false
259	313	0	Verdugo, El	García Berlanga, Luis	1963	Spain	90	null	null	false
319	312	0	Videodrome	Cronenberg, David	1983	Canada	90	null	null	true
338	334	0	Broken Blossoms	Griffith, D.W.	1919	USA	90	null	null	true
449	436	0	Crime of Monsieur Lange, The	Renoir, Jean	1936	France	90	null	null	false
470	464	0	Palm Beach Story, The	Sturges, Preston	1942	USA	90	null	null	true
484	477	0	Lola	Demy, Jacques	1961	France	90	null	null	false
546	541	0	Nostalgia for the Light	Guzmán, Patricio	2010	France	90	null	null	false
619	607	0	Round-Up, The	Jancsó, Miklós	1966	Hungary	90	null	null	false
644	655	0	Watermelon Woman, The	Dunye, Cheryl	1996	USA	90	null	null	false
712	690	0	Nouvelle vague	Godard, Jean-Luc	1990	France	90	null	null	false
719	708	0	Sun Shines Bright, The	Ford, John	1953	USA	90	null	null	false
728	733	0	Big Heat, The	Lang, Fritz	1953	USA	90	null	null	true
737	735	0	Design for Living	Lubitsch, Ernst	1933	USA	90	null	null	false
860	857	0	Toute une nuit	Akerman, Chantal	1982	Belgium	90	null	null	false
869	855	0	Spione	Lang, Fritz	1928	Germany	90	null	null	false
877	875	0	Monty Python and the Holy Grail	Gilliam, Terry & Terry Jones	1975	UK	90	null	null	true
879	905	0	Red and the White, The	Jancsó, Miklós	1967	Hungary	90	null	null	false
903	895	0	Assault on Precinct 13	Carpenter, John	1976	USA	90	null	null	true
959	961	0	Othello	Welles, Orson	1951	Italy	90	null	null	true
964	974	0	Duel	Spielberg, Steven	1971	USA	90	null	null	true
14	15	0	Bicycle Thieves	De Sica, Vittorio	1948	Italy	89	null	null	true
18	19	0	Breathless	Godard, Jean-Luc	1960	France	89	null	null	true
20	20	0	Atalante, L'	Vigo, Jean	1934	France	89	null	null	true
51	52	0	Modern Times	Chaplin, Charles	1936	USA	89	null	null	true
224	222	0	Umberto D.	De Sica, Vittorio	1952	Italy	89	null	null	false
274	274	0	F for Fake	Welles, Orson	1973	France	89	null	null	true
293	287	0	All That Heaven Allows	Sirk, Douglas	1955	USA	89	null	null	false
377	378	0	Stranger Than Paradise	Jarmusch, Jim	1984	USA	89	null	null	true
511	518	0	Closely Watched Trains	Menzel, Jirí	1966	Czechoslovakia	89	null	null	false
574	560	0	Yellow Earth	Chen Kaige	1984	China	89	null	null	false
732	726	0	Stand by Me	Reiner, Rob	1986	USA	89	null	null	true
735	723	0	Moonfleet	Lang, Fritz	1955	USA	89	null	null	false
993	0	0	Saturday Night and Sunday Morning	Reisz, Karel	1960	UK	89	null	null	true
24	24	0	Rashomon	Kurosawa, Akira	1950	Japan	88	null	null	true
89	85	0	Magnificent Ambersons, The	Welles, Orson	1942	USA	88	null	null	true
135	139	0	Olvidados, Los	Buñuel, Luis	1950	Mexico	88	null	null	true
242	244	0	Ivan the Terrible, Part II	Eisenstein, Sergei	1946	USSR	88	null	null	false
411	409	0	Eyes Without a Face	Franju, Georges	1960	France	88	null	null	true
448	438	0	Wind, The	Sjöström, Victor	1928	USA	88	null	null	false
469	457	0	Pinocchio	Sharpsteen, Ben & Hamilton Luske	1940	USA	88	null	null	true
579	624	0	Loves of a Blonde	Forman, Milos	1965	Czechoslovakia	88	null	null	false
637	635	0	Hour of the Wolf	Bergman, Ingmar	1968	Sweden	88	null	null	true
669	657	0	Virgin Spring, The	Bergman, Ingmar	1960	Sweden	88	null	null	true
808	795	0	Producers, The	Brooks, Mel	1968	USA	88	null	null	true
811	815	0	Women on the Verge of a Nervous Breakdown	Almodóvar, Pedro	1988	Spain	88	null	null	false
827	830	0	Deep End	Skolimowski, Jerzy	1970	UK	88	null	null	false
843	834	0	Gummo	Korine, Harmony	1997	USA	88	null	null	true
1000	986	0	Numéro deux	Godard, Jean-Luc	1975	France	88	null	null	false
288	288	0	2 or 3 Things I Know About Her	Godard, Jean-Luc	1967	France	87	null	null	false
404	399	0	Headless Woman, The	Martel, Lucrecia	2008	Argentina	87	null	null	true
453	448	0	Koyaanisqatsi	Reggio, Godfrey	1982	USA	87	null	null	false
551	542	0	Lady from Shanghai, The	Welles, Orson	1948	USA	87	null	null	true
622	619	0	Shadows	Cassavetes, John	1959	USA	87	null	null	false
627	615	0	Boudu Saved from Drowning	Renoir, Jean	1932	France	87	null	null	true
700	683	0	7 Women	Ford, John	1965	USA	87	null	null	false
714	699	0	Sauve qui peut (la vie)	Godard, Jean-Luc	1980	France	87	null	null	false
720	730	0	Hard Day's Night, A	Lester, Richard	1964	UK	87	null	null	true
768	803	0	Mädchen in Uniform	Sagan, Leontine	1931	Germany	87	null	null	false
791	773	0	39 Steps, The	Hitchcock, Alfred	1935	UK	87	null	null	true
812	799	0	Forbidden Games	Clément, René	1952	France	87	null	null	false
821	808	0	Passion	Godard, Jean-Luc	1982	France	87	null	null	false
837	825	0	Street of Shame	Mizoguchi, Kenji	1956	Japan	87	null	null	true
974	956	0	True Heart Susie	Griffith, D.W.	1919	USA	87	null	null	false
25	25	0	City Lights	Chaplin, Charles	1931	USA	86	null	null	true
161	160	0	My Neighbour Totoro	Miyazaki, Hayao	1988	Japan	86	null	null	true
283	291	0	Paths of Glory	Kubrick, Stanley	1957	USA	86	null	null	true
306	301	0	Mr. Hulot's Holiday	Tati, Jacques	1953	France	86	null	null	true
481	474	0	Wagon Master	Ford, John	1950	USA	86	null	null	true
829	823	0	Losing Ground	Collins, Kathleen	1982	USA	86	null	null	false
895	899	0	Airplane!	Abrahams, Jim/David Zucker/Jerry Zucker	1980	USA	86	null	null	true
938	935	0	Portrait of Jennie	Dieterle, William	1948	USA	86	null	null	false
970	964	0	Gun Crazy	Lewis, Joseph H.	1950	USA	86	null	null	true
129	129	0	Vivre sa vie	Godard, Jean-Luc	1962	France	85	null	null	false
174	173	0	Touki Bouki	Diop Mambéty, Djibril	1973	Senegal	85	null	null	false
177	179	0	Brief Encounter	Lean, David	1945	UK	85	null	null	true
208	205	0	News from Home	Akerman, Chantal	1976	Belgium	85	null	null	false
227	226	0	Where is the Friend's House?	Kiarostami, Abbas	1987	Iran	85	null	null	false
246	243	0	Eraserhead	Lynch, David	1977	USA	85	null	null	true
302	297	0	Distant Voices, Still Lives	Davies, Terence	1988	UK	85	null	null	false
553	540	0	Je, tu, il, elle	Akerman, Chantal	1974	Belgium	85	null	null	false
581	577	0	Laura	Preminger, Otto	1944	USA	85	null	null	true
589	669	0	Plácido	García Berlanga, Luis	1961	Spain	85	null	null	false
684	682	0	Chronicle of a Summer	Rouch, Jean & Edgar Morin	1961	France	85	null	null	false
689	720	0	Killing, The	Kubrick, Stanley	1956	USA	85	null	null	true
709	701	0	Lancelot du Lac	Bresson, Robert	1974	France	85	null	null	false
713	697	0	Salesman	Maysles, Albert/David Maysles/Charlotte Zwerin	1969	USA	85	null	null	true
727	729	0	Short Film About Killing, A	Kieslowski, Krzysztof	1987	Poland	85	null	null	true
733	751	0	Dames du Bois de Boulogne, Les	Bresson, Robert	1945	France	85	null	null	false
749	756	0	Wild Child, The	Truffaut, François	1970	France	85	null	null	false
787	767	0	Wings	Shepitko, Larisa	1966	USSR	85	null	null	false
146	147	0	Nosferatu	Murnau, F.W.	1922	Germany	84	null	null	true
478	478	0	High Noon	Zinnemann, Fred	1952	USA	84	null	null	true
698	680	0	WR: Mysteries of the Organism	Makavejev, Dusan	1971	Yugoslavia	84	null	null	false
736	742	0	Titicut Follies	Wiseman, Frederick	1967	USA	84	null	null	false
775	764	0	Hellzapoppin'	Potter, H.C.	1941	USA	84	null	null	false
796	810	0	Evil Dead II	Raimi, Sam	1987	USA	84	null	null	true
16	16	0	Persona	Bergman, Ingmar	1966	Sweden	83	null	null	true
149	144	0	Killer of Sheep	Burnett, Charles	1977	USA	83	null	null	false
158	155	0	Trouble in Paradise	Lubitsch, Ernst	1932	USA	83	null	null	true
170	169	0	Texas Chain Saw Massacre, The	Hooper, Tobe	1974	USA	83	null	null	true
400	404	0	Flowers of St. Francis, The	Rossellini, Roberto	1950	Italy	83	null	null	true
416	410	0	Snow White and the Seven Dwarfs	Hand, David	1937	USA	83	null	null	true
479	480	0	Dead, The	Huston, John	1987	USA	83	null	null	false
608	603	0	Long Day Closes, The	Davies, Terence	1992	UK	83	null	null	false
801	779	0	Faster, Pussycat! Kill! Kill!	Meyer, Russ	1965	USA	83	null	null	false
93	93	0	Gold Rush, The	Chaplin, Charles	1925	USA	82	null	null	true
199	208	0	Gleaners & I, The	Varda, Agnès	2000	France	82	null	null	true
261	259	0	Tabu	Murnau, F.W.	1931	USA	82	null	null	false
284	284	0	Goodbye, Dragon Inn	Tsai Ming-liang	2003	Taiwan	82	null	null	false
388	390	0	This is Spinal Tap	Reiner, Rob	1984	USA	82	null	null	true
653	654	0	Strike	Eisenstein, Sergei	1925	USSR	82	null	null	true
672	696	0	Purple Rose of Cairo, The	Allen, Woody	1985	USA	82	null	null	true
870	859	0	Shanghai Express	von Sternberg, Josef	1932	USA	82	null	null	false
985	979	0	Reckless Moment, The	Ophüls, Max	1949	USA	82	null	null	false
460	450	0	Shoot the Piano Player	Truffaut, François	1960	France	81	null	null	true
477	483	0	Elephant	Van Sant, Gus	2003	USA	81	null	null	false
679	694	0	Toy Story	Lasseter, John	1995	USA	81	null	null	true
22	22	0	Man with a Movie Camera	Vertov, Dziga	1929	USSR	80	null	null	true
180	178	0	Colour of Pomegranates, The	Parajanov, Sergei	1969	USSR	80	null	null	true
185	183	0	Mouchette	Bresson, Robert	1967	France	80	null	null	false
433	435	0	Winter Light	Bergman, Ingmar	1963	Sweden	80	null	null	true
711	702	0	Before Sunset	Linklater, Richard	2004	USA	80	null	null	true
842	854	0	Invasion of the Body Snatchers	Siegel, Don	1956	USA	80	null	null	true
909	907	0	Wendy and Lucy	Reichardt, Kelly	2008	USA	80	null	null	false
946	936	0	Enfance nue, L'	Pialat, Maurice	1968	France	80	null	null	true
976	967	0	Rope	Hitchcock, Alfred	1948	USA	80	null	null	true
316	305	0	Nanook of the North	Flaherty, Robert J.	1922	USA	79	null	null	true
427	425	0	Bonheur, Le	Varda, Agnès	1965	France	79	null	null	false
539	527	0	Blue	Jarman, Derek	1993	UK	79	null	null	false
758	761	0	Born in Flames	Borden, Lizzie	1983	USA	79	null	null	false
795	774	0	Zelig	Allen, Woody	1983	USA	79	null	null	false
464	459	0	Paris is Burning	Livingston, Jennie	1990	USA	78	null	null	false
512	500	0	Moment of Innocence, A	Makhmalbaf, Mohsen	1996	Iran	78	null	null	false
731	722	0	One Way or Another	Gómez, Sara	1977	Cuba	78	null	null	false
818	820	0	Woman of Paris, A	Chaplin, Charles	1923	USA	78	null	null	true
206	204	0	Last Laugh, The	Murnau, F.W.	1924	Germany	77	null	null	true
548	538	0	Man of Aran	Flaherty, Robert J.	1934	UK	77	null	null	false
788	775	0	Cairo Station	Chahine, Youssef	1958	Egypt	77	null	null	false
145	146	0	Daisies	Chytilová, Věra	1966	Czechoslovakia	76	null	null	false
88	89	0	Pickpocket	Bresson, Robert	1959	France	75	null	null	true
181	177	0	Earth	Dovzhenko, Alexander	1930	USSR	75	null	null	false
263	265	0	Cabinet of Dr. Caligari, The	Wiene, Robert	1920	Germany	75	null	null	true
425	422	0	Bride of Frankenstein	Whale, James	1935	USA	75	null	null	true
602	627	0	Symbiopsychotaxiplasm: Take One	Greaves, William	1968	USA	75	null	null	false
814	800	0	Dog Star Man	Brakhage, Stan	1964	USA	75	null	null	false
50	50	0	General, The	Keaton, Buster & Clyde Bruckman	1926	USA	74	null	null	true
232	233	0	Germany, Year Zero	Rossellini, Roberto	1948	Italy	74	null	null	true
509	497	0	Our Hospitality	Keaton, Buster & John G. Blystone	1923	USA	74	null	null	true
927	937	0	People on Sunday	Siodmak, Robert & Edgar G. Ulmer	1930	Germany	74	null	null	false
190	187	0	Vampyr	Dreyer, Carl Theodor	1932	Germany	73	null	null	true
582	574	0	Cat People	Tourneur, Jacques	1942	USA	73	null	null	true
756	821	0	Firemen's Ball, The	Forman, Milos	1967	Czechoslovakia	73	null	null	true
783	769	0	Mother and Son	Sokurov, Aleksandr	1997	Russia	73	null	null	false
824	829	0	Petite Maman	Sciamma, Céline	2021	France	73	null	null	false
905	891	0	It's a Gift	McLeod, Norman Z.	1934	USA	73	null	null	false
730	721	0	Circus, The	Chaplin, Charles	1928	USA	72	null	null	true
21	21	0	Battleship Potemkin	Eisenstein, Sergei	1925	USSR	71	null	null	true
473	490	0	Steamboat Bill, Jr.	Keaton, Buster & Charles Reisner	1928	USA	71	null	null	true
475	484	0	By the Bluest of Seas	Barnet, Boris	1936	USSR	71	null	null	false
175	171	0	Duck Soup	McCarey, Leo	1933	USA	70	null	null	true
647	646	0	Frankenstein	Whale, James	1931	USA	70	null	null	true
977	959	0	Moi, un Noir	Rouch, Jean	1958	France	70	null	null	false
979	973	0	Page of Madness, A	Kinugasa, Teinosuke	1926	Japan	70	null	null	false
441	463	0	Cameraman, The	Keaton, Buster & Edward Sedgwick	1928	USA	69	null	null	true
563	555	0	I Walked with a Zombie	Tourneur, Jacques	1943	USA	69	null	null	true
674	661	0	Bambi	Hand, David	1942	USA	69	null	null	true
764	750	0	Detour	Ulmer, Edgar G.	1945	USA	69	null	null	true
864	846	0	Sicilia!	Straub, Jean-Marie & Danièle Huillet	1999	Italy	66	null	null	false
272	272	0	Black Girl	Sembene, Ousmane	1966	Senegal	65	null	null	true
710	719	0	Adventures of Prince Achmed, The	Reiniger, Lotte	1926	Germany	65	null	null	false
322	318	0	Freaks	Browning, Tod	1932	USA	64	null	null	true
836	828	0	Dumbo	Sharpsteen, Ben	1941	USA	64	null	null	true
167	166	0	Âge d'or, L'	Buñuel, Luis	1930	France	63	null	null	true
874	871	0	Unknown, The	Browning, Tod	1927	USA	63	null	null	true
995	983	0	Handsworth Songs	Akomfrah, John	1986	UK	61	null	null	false
334	331	0	Kid, The	Chaplin, Charles	1921	USA	60	null	null	true
923	918	0	Zorns Lemma	Frampton, Hollis	1970	USA	60	null	null	true
663	675	0	Navigator, The	Keaton, Buster & Donald Crisp	1924	USA	59	null	null	true
611	597	0	Seven Chances	Keaton, Buster	1925	USA	56	null	null	true
901	920	0	Tongues Untied	Riggs, Marlon	1989	USA	55	null	null	false
991	0	0	Not Reconciled	Straub, Jean-Marie	1965	West Germany	55	null	null	false
103	101	0	Sherlock Jr.	Keaton, Buster	1924	USA	45	null	null	true
215	212	0	Wavelength	Snow, Michael	1967	Canada	45	null	null	true
767	753	0	Flaming Creatures	Smith, Jack	1963	USA	45	null	null	false
916	906	0	Simon of the Desert	Buñuel, Luis	1965	Mexico	43	null	null	true
219	217	0	Zero for Conduct	Vigo, Jean	1933	France	41	null	null	true
126	125	0	Day in the Country, A	Renoir, Jean	1936	France	40	null	null	true
944	938	0	Elephant [TV]	Clarke, Alan	1989	UK	39	null	null	false
269	262	0	Night and Fog	Resnais, Alain	1955	France	32	null	null	true
599	585	0	Tale of Tales	Norshteyn, Yuriy	1979	USSR	29	null	null	true
893	885	0	Seasons, The	Peleshian, Artavazd	1975	USSR	29	null	null	true
568	584	0	Land Without Bread	Buñuel, Luis	1933	Spain	28	null	null	true
628	617	0	Scorpio Rising	Anger, Kenneth	1963	USA	28	null	null	true
95	95	0	Jetée, La	Marker, Chris	1962	France	27	null	null	true
789	778	0	Chant d'amour, Un	Genet, Jean	1950	France	26	null	null	true
233	232	0	House is Black, The	Farrokhzad, Forugh	1963	Iran	20	null	null	true
465	453	0	Listen to Britain	Jennings, Humphrey & Stewart McAllister	1942	UK	20	null	null	true
817	805	0	Rose Hobart	Cornell, Joseph	1936	USA	20	null	null	true
155	149	0	Chien andalou, Un	Buñuel, Luis	1928	France	16	null	null	true
100	99	0	Meshes of the Afternoon	Deren, Maya & Alexander Hammid	1943	USA	15	null	null	true
458	449	0	Trip to the Moon, A	Méliès, Georges	1902	France	14	null	null	true
940	929	0	Mothlight	Brakhage, Stan	1963	USA	4	null	null	true
